preco,endereco,detalhe_localizacao,caracteristicas,descricao
R$ 380.000,Endereço não informado,"Franca, São Paulo","100 m² tot.
2 quartos
2 ban.
2 vagas","2 Dormitórios sendo 1 Suíte. Sala de Tv e Jantar Integrados. Cozinha em Ilha. Banheiro Social. Lavanderia Coberta. Vaga para 2 Carros. Área Gourmet Moderna. Acabamento Fino. Excelente Localização. rr andrade Imóveis &#xae; Os Melhores Imóveis estão Aqui. . br. R. Dr. Júlio Cardoso, 1336 Centro, Franca sp. As informações estão sujeitas a alterações. Consulte o corretor responsável. Chave do anúncio: sZ0wpyyoC9oyhwww"
R$ 255.000,Rua Torquato Caleiro 700,"Vila Nicácio, Franca","50 m² tot.
2 quartos
1 banheiro
1 vaga",02 dormitórios. 01 banheiro social. Sala de tv e Jantar Integradas. Cozinha e Lavanderia Integradas. 01 Vaga de garagem
R$ 990.000,"Rua General Carneiro, 2261","Centro, Franca","277 m² tot.
3 quartos
2 ban.
4 vagas","Remaxparimob#uziw1 - Ideal para você! Um imóvel que oferece conforto e praticidade. - Oportunidade Única no Centro de Franca Espaço, Conforto e Versatilidade! Casa com uma localização privilegiada: Rua General Carneiro a poucos metros do Hospital Regional e em pleno Centro de Franca/sp. Terreno: , m Área construída: , m Se você está buscando um imóvel espaçoso, com estrutura completa e localização estratégica, essa casa é a escolha ideal. Seja para moradia com total conforto ou para instalação de uma clínica, consultório, escritório de advocacia ou qualquer outro negócio de prestígio, ela oferece o espaço e a funcionalidade que você precisa. Características do Imóvel; dormitórios, sendo suíte ampla e bem iluminada, Sala de estar com ótimo aproveitamento de luz natural, Sala de tv aconchegante, Sala de jantar espaçosa, ideal para reuniões e refeições em família, Escritório privativo perfeito para home office ou uso profissional, cozinhas independentes e funcionais, lavabo, banheiros sociais, Lavanderia coberta, Edícula com banheiro versátil para hóspedes, ateliê ou espaço de apoio, Amplo quintal com quadra de basquete lazer garantido para todas as idades, vagas de garagem, Rica em armários planejados. Infraestrutura e Segurança Portão eletrônico, Cerca elétrica, Sistema de alarme, Câmeras de segurança Essa é uma casa grande, bem distribuída e com muito potencial, tanto para uso residencial quanto comercial. Com sua localização central e acesso facilitado, é ideal para profissionais da saúde, advocacia ou empreendedores que buscam um ambiente que una prestígio, espaço e funcionalidade. Não perca essa oportunidade de adquirir um imóvel diferenciado no coração de Franca!"
R$ 295.000,"Avenida César Martins Pirajá, 1073","Jardim Aeroporto III, Franca","135 m² tot.
2 quartos
1 banheiro
2 vagas","Remaxparimob#xk83Y - Ótima localização! Conforto e conveniência em um só lugar. - Oportunidade Imperdível no Jardim Aeroporto iii – Franca/sp Se você está em busca de um novo lar ou de um excelente investimento imobiliário, essa é a chance perfeita! Apresentamos esta casa à venda, localizada em um dos bairros tradicionais da cidade de Franca: o Jardim Aeroporto iii. Um local que oferece praticidade para o dia a dia. O imóvel possui um terreno de m bem distribuído, com excelente aproveitamento de espaço e uma construção sólida e funcional. São dormitórios espaçosos, ideais para acomodar confortavelmente a família, além de um banheiro social bem ventilado e com ótimo acabamento. A cozinha é ampla, perfeita para preparar refeições com praticidade e reunir a família em momentos especiais. Conta ainda com uma despensa, oferecendo um espaço extra para armazenamento e organização. São m de área construída. Na área externa, o imóvel dispõe de vagas de garagem, com espaço suficiente para até veículos, o que é um diferencial importante para quem precisa de mais praticidade no dia a dia. A fachada da casa é agradável, com um visual simples, porém acolhedor, ideal para quem deseja um ambiente residencial confortável e pronto para morar. Além das qualidades do imóvel, a localização é um dos grandes atrativos. Situada no Jardim Aeroporto iii, a casa está próxima a diversas lojas de serviços, como mercados, padarias, farmácias, escolas, academias e comércios variados, oferecendo tudo o que você precisa a poucos minutos de casa. O bairro é conhecido pelo seu crescimento constante, infraestrutura urbana completa e fácil acesso a outras regiões da cidade. É o imóvel ideal para quem busca qualidade de vida, conforto e uma localização estratégica, seja para morar com a família ou para investir. Entre em contato agora mesmo e agende uma visita! Essa pode ser a casa que você e sua família estavam esperando. Não perca essa oportunidade de realizar um ótimo negócio."
R$ 150.000,"Rua João Lamarca Martos, 2411","Jardim Brasil, Franca",260 m² tot.,"Remaxparimob#gqtsl - Elegância e conforto em um só imóvel! Aproveite esta oferta única. - Ótima oportunidade para adquirir um terreno de metros quadrados desmembrável, na encantadora cidade de Franca, situada na Região Sudeste do Brasil, especificamente no renomado bairro Jardim Centenário. Este terreno está localizado na Rua João Lamarca Matos. Ideal para quem procura um espaço para construir a casa dos sonhos ou investir, com dimensões de x metros, este terreno oferece um espaço planejado e versátil para diversos tipos de construção. Pode ser desmenbrado em dois terrenos de x metros, ou seja, metros quadrados cada lote. O terreno está listado no mercado por um ótimo preço e possui diversas características que o tornam ainda mais atrativo. Entre os recursos disponíveis estão: Perto da Igreja, Perto das escolas, Perto de ponto de ônibus. Esta localização privilegiada oferece fácil acesso a serviços essenciais e transporte, proporcionando conforto e praticidade para os futuros moradores. Seja para construção residencial ou para investimento, este terreno em Franca, São Paulo, promete ser uma excelente escolha. Não perca a chance de garantir este ótimo imóvel localizado em uma área que combina tranquilidade e conveniência. Agende uma visita e conheça todas as possibilidades que este terreno pode oferecer."
R$ 185.000,"Rua Capitão Zeca de Paula, 798","Jardim Consolação, Franca","46 m² tot.
2 quartos
1 banheiro
1 vaga","Remaxparimob#ienak - Elegância e conforto em um só imóvel! Aproveite esta oferta única. - Apartamento Ótimo preço, Excelente localização Apartamento por ótimo preço e excelente localização, com, metros quadrados de área útil, dormitórios, sala conjugada, cozinha banheiro e area de serviço em ótima localização. Localizado próximo a Avenida Champagnat e Avenida Dr. Ismael Alonso y Alonso, a m do Posto combustíveis e loja de conveniencia, a metros da Casa da Cultura e do Artista de Franca, metros do Ginásio Champagnat, metros da Casa da Agricultura, a apenas metros da Casa da Cultura e do Artista de Franca, Próximo também a Locadora de veículos, várias concessionarias de veículos e fácil acesso a rodovias Cândido Portinari e Eng. o Ronan Rocha. Cercado por comodidades com ampla variedade de comércio, bares e restaurantes, igrejas, escolas, farmácias, lojas de departamentos, bancos e serviços em geral que tornam o viver diário mais fácil e agradável. . Vaga de estacionamento privativa coberta e de fácil acesso, com entrada pela rua principal. Agende uma visita hoje mesmo!"
R$ 890.000,"Rua Jovita de Melo, 805","São José, Franca","392 m² tot.
5 quartos
5 ban.
2 vagas","Remaxparimob#yemd0 - Ideal para você! Um imóvel que oferece conforto e praticidade. - Uma casa localizada em um dos bairros mais nobres da cidade de Franca que é o bairro do São José, tradicional da cidade mas com uma peculiaridade muito interessante por fazer parte do entorno da região central e a facilidade de acesso as principais vias da cidade. A proximidade ao comércio local, a avenida de interligação Major Nicácio, e um importante centro de entretenimento do Brasil o sesc franca, com agenda atuante de cultura e lazer. Outro ponto interessante a proximidade da base da polícia militar do bairro, e a organizada rodoviária da cidade. A casa como a maioria dos terrenos do bairro São José possui m de terreno e uma construção imponente de m de área construída. Possui no piso superior dormitórios sendo suítes, e uma sala ampla arejada com um terraço amplo. A casa tem banheiros no qual precisam da finalização do acabamento. No piso térreo da casa,, tem uma garagem para carros, uma sala para ambiente com taco,, um escritório, uma sala de jantar, e uma cozinha ampla com armários. Anexo a casa, com alguma possibilidade de utilidade tem mais um quarto, um banheiro e uma cozinha, podendo ser utilizado com uma área anexa a área externa, onde há espaço para construir uma piscina, ou mesmo utilizar como um segundo espaço para moradia, dando uma certa exclusividade, mais privativa. Um imóvel que está localizado em uma zona mista, apesar do bairro ter uma característica bem residencial, pode ser utilizado para comércio, como exemplo escritório, clínica, entre outros devido a facilidade de acesso e a tranquilidade que o bairro proporciona além da segurança. Entre em contato e agende uma visita neste imóvel."
R$ 480.000,"Rua Torquato Ranulfo Stefens, 201","Jardim Paineiras, Franca","283 m² tot.
3 quartos
3 ban.
2 vagas","Remaxparimob#wahwm - Perfeito para morar bem! Ambientes amplos e bem distribuídos. - Oportunidade imperdível de adquirir um excelente sobrado no bairro Jardim Paineiras, em Franca/sp! Se você está em busca de um imóvel completo, confortável, em uma localização estratégica e valorizada, esta é a chance ideal para garantir o seu novo lar! Este belo sobrado conta com dormitórios amplos, sendo suíte, perfeitos para acomodar toda a família com muito conforto e privacidade. A suíte principal oferece um espaço reservado para relaxar, com excelente iluminação natural e ventilação. Os banheiros do imóvel são bem distribuídos, atendendo perfeitamente às necessidades dos moradores e visitantes com praticidade e comodidade. A sala de estar é espaçosa e ideal para receber amigos e familiares, criando momentos inesquecíveis de convívio. Já a cozinha, ampla e bem planejada, proporciona um ambiente funcional e acolhedor para o preparo das refeições do dia a dia. Um dos grandes destaques do imóvel é a sua área de lazer, perfeita para quem valoriza momentos ao ar livre e quer desfrutar de um espaço privativo e tranquilo para confraternizações, descanso e diversão. Além disso, a garagem para carros garante segurança e praticidade no dia a dia. Localizado no bairro Jardim Paineiras, um dos mais desejados de Franca, o imóvel está em uma excelente região residencial, com ótima vizinhança e acesso rápido a tudo o que você precisa. Fica próximo a supermercado, farmácia, posto de combustível, escolas e outros comércios essenciais, proporcionando muita conveniência e praticidade para sua rotina. O Jardim Paineiras é conhecido por oferecer qualidade de vida, segurança, tranquilidade e bem-estar, sendo ideal para famílias que buscam viver com conforto sem abrir mão de uma localização privilegiada. Não perca essa oportunidade única de viver bem e com tudo ao seu alcance. Agende já uma visita e encante-se com este sobrado incrível!"
R$ 535.000,"Rua Ricardo Mercuri, Qd 07","Franca, São Paulo",359 m² tot.,"- O Villa Piemonte é um grande sucesso. Um novo residencial que nasce com o status de condomínio conceito, até então inédito para a cidade. Um lugar bem planejado com Clube Exclusivo, fiação subterrânea, pista de cooper, áreas de lazer bem definidas e localização privilegiada Quadra de tênis, quadra poliesportiva, duas quadras de beach tênis, Mercadinho. Conheça Em detalhes o Villa Piemonte e comece a planejar o seu futuro em um lugar pensado especialmente para você e a sua família viverem os melhores momentos da vida. Um terreno exclusivo com vista permanente."
R$ 482.000,"Rua Francisco de Goya, 681","Prolongamento Jardim Doutor Antônio Petráglia, Franca","183 m² tot.
3 quartos
3 ban.
4 vagas","Remaxparimob#4kp3I - Para quem busca o imóvel ideal! Encontre o seu lar aqui. - Oportunidade imperdível no coração do Parque Residencial Nova Franca: casa espaçosa e pronta para morar, com excelente preço! Essa residência desocupada oferece conforto e praticidade em uma área total de, metros quadrados de área construída, em terreno de metros quadrados. Esse imóvel conta com dormitórios, sendo suíte com banheira, ampla sala de visitas, espaçosa cozinha integrada com a sala de jantar, banheiro social, piso em madeira nobre e cerâmica e ao fundo varanda, cômodo multiuso e banheiro, armários planejados em todos os ambientes, exceto na sala de visitas e, para completar, dispõe também de vagas de garagem cobertas. Localizada em uma rua tranquila, a propriedade conta com fácil acesso a supermercados, restaurante, lanchonetes, escolas, igrejas, rodovias, e transporte público. A orientação leste permite aproveitar ao máximo a luz natural. O imóvel aceita financiamento, tornando-se acessível para diversas possibilidades de aquisição. Agende sua visita agora e venha conhecer este encantador lar no Parque Residencial Nova Franca!"
R$ 698.000,"Rua Yolanda Scott de Oliveira, 3200","Franca, São Paulo","174 m² tot.
3 quartos
2 ban.
4 vagas","Remaxparimob#ddvn8 - Ótima localização! Conforto e conveniência em um só lugar. - Oportunidade Imperdível no Bairro Meneghetti Parte Alta! Descubra o conforto e o espaço que você e sua família merecem nesta linda casa localizada na parte alta do bairro Meneghetti, uma das regiões mais valorizadas e tranquilas da cidade! Terreno de m | Construção de, m Casa ampla e bem planejada, com: dormitórios, sendo suíte com armários. Cozinha americana integrada moderna e funcional toda com armários planejados. Garagem espaçosa para até carros com pé direito alto muito arejada excelente ventilação. Quintal com espaço para construir a piscina dos seus sonhos espaço disponível para valorizar ainda mais o ambiente. Localização estratégica, plana e na parte alta do bairro! A poucos minutos de supermercados, padarias, farmácias, escolas e outros comércios essenciais. Bairros interligado próximos como o Piratininga, e o Noêmia. No dia a dia facilita o acesso as lojas de serviços para atender as necessidade rapidamente. ️ Com fácil acesso às principais vias da cidade, facilitando seus deslocamentos diários com mais agilidade e comodidade. Próximo a avenida Chafic Facury via de interligação, a avenida Alonso Y Alonso e a Rua Vereador José Granzotte no Bairro Jardim Piratininga. Ambiente arejado, excelente iluminação natural e todo o conforto que você busca para viver bem! Invista em qualidade de vida! Agende uma visita agora, e surpreenda-se com cada detalhe e com esse excelente custo benefício da sua nova casa."
R$ 115.000,"Rua Maria José Boareto Mendes, S/N","Franca, São Paulo",252 m² tot.,"Remaxparimob#07emh - Um achado raro no mercado! Confira todos os detalhes desta propriedade. - Terreno residencial disponível para venda, com uma área total de metros quadrados. Este espaço oferece a oportunidade perfeita para construir a sua casa dos sonhos em um ambiente tranquilo e planejado. Quadra: lote Direitos: R$. , + parcelas de R$. , Reajuste ipca anual conforme contrato Valor para quitar aproximadamente R$. , Valor quitado:. , A localização do terreno é excelente, proporcionando fácil acesso a serviços e comodidades essenciais da região. Aproveite esta chance de adquirir um terreno que permite a personalização do seu futuro lar, em um projeto que atenda às suas necessidades e desejos."
R$ 950.000,"Rua Ewerton de Paula Merlino, 2485","Vila Santa Cruz, Franca","280 m² tot.
3 quartos
3 ban.
2 vagas","Remaxparimob#qmzap - Ótima localização! Conforto e conveniência em um só lugar. - Excelente Casa à Venda no Bairro São José – Franca - sp Apresentamos esta ótima oportunidade para você que busca conforto, espaço e praticidade! Localizada na Rua Ewerton de Paula Merlino, em um dos bairros mais valorizados e bem localizados de Franca, esta casa conta com, m de terreno e, m de área construída. Com garagem ampla, acomoda confortavelmente carros grandes ou até veículos menores. Internamente, o imóvel oferece sala de estar e sala de jantar integradas, quarto espaçosos incluindo duas suítes, além de banheiro grande, área de serviço, cozinha grande, garantindo praticidade e privacidade para toda a família. Para os momentos de lazer, a casa conta com uma excelente área de churrasco e piscina, perfeitas para curtir com amigos e familiares. O acabamento é padrão, muito bem cuidado e pronto para morar. Outro grande diferencial é a localização estratégica: próximo ao sesc, sesi, supermercado, barbearia, lojas, posto de combustível e diversos comércios essenciais do dia a dia. Ideal para quem busca conforto, espaço e uma vizinhança tranquila, com fácil acesso a tudo o que você precisa! Rua Ewerton de Paula Merlino, Agende já sua visita e venha conhecer seu novo lar!"
